Function,Group,Dim,OOA_Best_Error,OOA_Mean_Error,OOA_Std_Error,Mean_Time_s
F10: Different Powers,3. Ill-Conditioned,10,0.0,0.0,0.0,13.272366439999313
F11: Rotated Rastrigin,4. Multi-Modal (Global),10,31.05180246516275,46.30509459048632,12.25075397684028,13.269073640007992
F12: Weierstrass,4. Multi-Modal (Global),10,0.0,6.572332110365031e-07,1.0686023175422587e-06,21.8412377199973
F13: Schaffer F7,4. Multi-Modal (Global),10,4.586659535507142e-05,0.00035368387493750605,0.00025285768981460273,13.77684922000044
F14: Schwefel,5. Multi-Modal (Weak),10,0.0001272782328669564,23.687794209891127,47.375333840414534,12.86523236000212
F15: Katsuura,5. Multi-Modal (Weak),10,0.00011227547075089995,0.00047468572476881297,0.0005131610272217003,138.8978296999936
F1: Sphere,1. Separable,10,0.0,0.0,0.0,8.841150100011145
F2: Ellipsoid Separable,1. Separable,10,0.0,0.0,0.0,9.455376819998492
F3: Rastrigin Separable,1. Separable,10,1.0978638442793454e-08,5.375311502575642e-08,3.959439586391064e-08,9.380359519994817
F4: Attractive Sector,2. Moderate Cond,10,0.0,0.0,0.0,8.577550200000406
F5: Step Ellipsoidal,2. Moderate Cond,10,0.0,0.0,0.0,10.019291280006291
F6: Rosenbrock,2. Moderate Cond,10,3.6315321981715792e-06,1.0848570685567323e-05,6.426385050484753e-06,9.446641439996892
F7: Rotated Ellipsoid,3. Ill-Conditioned,10,2755.027271925268,8441.94396262668,6694.988859382058,16.99530933998758
F8: Discus Function,3. Ill-Conditioned,10,0.0,0.0,0.0,12.622464800003218
F9: Bent Cigar,3. Ill-Conditioned,10,0.0,0.0,0.0,12.431969620008022
F10: Different Powers,3. Ill-Conditioned,30,2.715022526691068e-08,9.51432905874501e-08,5.866681435645493e-08,14.810996959998738
F11: Rotated Rastrigin,4. Multi-Modal (Global),30,306.91484099945086,310.34555048649213,2.6156512965766887,24.181578879995506
F12: Weierstrass,4. Multi-Modal (Global),30,0.03429116652170537,0.07224222932610917,0.026318818121519413,54.02838060000213
F13: Schaffer F7,4. Multi-Modal (Global),30,0.1370442520282613,0.2513712435999555,0.08195745136347318,13.809149120002985
F14: Schwefel,5. Multi-Modal (Weak),30,241.5657540357788,389.5513914588326,137.89564513902798,12.79345350000076
F15: Katsuura,5. Multi-Modal (Weak),30,0.011862965951558613,0.01537892986411699,0.0036451476450945325,295.9515597800026
F1: Sphere,1. Separable,30,2.714674114212518e-07,1.7443080098338496e-06,9.91606246977841e-07,8.995573559997137
F2: Ellipsoid Separable,1. Separable,30,0.28162439822900365,1.978370905320343,1.7817559399039324,9.809657160000643
F3: Rastrigin Separable,1. Separable,30,7.682614690432217,12.956124367986614,3.2060471032989155,9.386184679996223
F4: Attractive Sector,2. Moderate Cond,30,0.01884792616244219,0.06151884100342773,0.038954076071023164,9.367709680000553
F5: Step Ellipsoidal,2. Moderate Cond,30,0.0,0.06378122365130753,0.12255000068734608,11.0551397000032
F6: Rosenbrock,2. Moderate Cond,30,24.16877610828454,25.616216271498747,0.8435860362973242,13.218420620000689
F7: Rotated Ellipsoid,3. Ill-Conditioned,30,355955.28725118865,564215.7851441597,168017.6390103527,18.66659620000282
F8: Discus Function,3. Ill-Conditioned,30,5.2327737288269715e-06,1.4925733079643386e-05,9.759276903142213e-06,12.737818659999174
F9: Bent Cigar,3. Ill-Conditioned,30,3.096685094310634,8.266031051136927,4.855502671373019,12.732527759997174
