Function_ID,Name,Category,Dimension,OOA_Best_Error,OOA_Mean_Error,OOA_Std_Error,LSHADE_Official_Mean_Error,Mean_Time_s
F1,F1: Rotated Elliptic,Unimodal,10,31840.796278210066,328450.3904213753,198502.2404806941,,18.818946620001224
F10,F10: Shifted Schwefel,Multimodal,10,0.0,0.0,0.0,,24.98487185999693
F11,F11: Shifted & Rotated Schwefel,Multimodal,10,0.0,0.0,0.0,,24.752612759996556
F12,F12: Shifted & Rotated Katsuura,Multimodal,10,0.032116550321461546,0.058637908709852124,0.034888887905036865,,118.59735496000212
F13,F13: Shifted & Rotated HappyCat,Multimodal,10,0.19157648684767992,0.22908634822661042,0.0236513421765522,,14.246434239996598
F14,F14: Shifted & Rotated HGBat,Multimodal,10,0.2192003314255544,0.3315933652481817,0.07598349330819533,,14.26628479999781
F15,F15: Expanded Griewank+Rosenbrock,Multimodal,10,0.5491137478320525,1.3219465021278212,0.8122581275295667,,15.28668777999701
F16,F16: Expanded Schaffer F6,Multimodal,10,2.234145798482132,2.8948142426042067,0.4698426860781356,,23.572650100002647
F2,F2: Rotated Bent Cigar,Unimodal,10,1001.838758875916,123491.23659362162,225232.72538490474,,16.03424794000166
F3,F3: Rotated Discus,Unimodal,10,4534.06186267142,5993.99660287095,742.5042467151402,,17.25901284000429
F4,F4: Shifted & Rotated Rosenbrock,Multimodal,10,0.07990783915323618,24.314514842686037,20.698437913179898,,19.572960859999874
F5,F5: Shifted & Rotated Ackley,Multimodal,10,20.002234652894685,20.00429162513858,0.0018044927276928367,,18.392872560000978
F6,F6: Shifted & Rotated Weierstrass,Multimodal,10,0.25648950855850217,1.8786886387666755,0.9677333826245921,,62.1132386799989
F7,F7: Shifted & Rotated Griewank,Multimodal,10,0.15151000308731,0.22010897361094522,0.06135556975245744,,17.846720039998765
F8,F8: Shifted Rastrigin,Multimodal,10,9.960883019393805,18.122333907381584,5.281932636386247,,17.2519512400002
F9,F9: Shifted & Rotated Rastrigin,Multimodal,10,4.986794832858777,11.352474880276054,4.340152143192713,,17.0937396000023
F1,F1: Rotated Elliptic,Unimodal,30,15718140.712315487,31781163.839502662,12962984.830553165,0.312,19.29029968000541
F10,F10: Shifted Schwefel,Multimodal,30,0.0,0.0,0.0,195.0,23.195206779995353
F11,F11: Shifted & Rotated Schwefel,Multimodal,30,0.0,0.0,0.0,456.0,24.063294620002853
F12,F12: Shifted & Rotated Katsuura,Multimodal,30,0.11578913886296505,0.3603969386348581,0.4416621340084338,0.42,1706.1851377999992
F13,F13: Shifted & Rotated HappyCat,Multimodal,30,0.5069153376580289,0.6354170245354908,0.09583332735195708,0.21,14.649307160000898
F14,F14: Shifted & Rotated HGBat,Multimodal,30,0.3805933827604804,0.5060293448389075,0.08767702230712375,0.25,15.656650079996325
F15,F15: Expanded Griewank+Rosenbrock,Multimodal,30,17.11333719693448,20.601537376016903,3.4851324627421754,1.82,16.074885380003252
F16,F16: Expanded Schaffer F6,Multimodal,30,11.164885109600846,12.227093220648522,0.5727811516689773,0.34,40.59395293999696
F2,F2: Rotated Bent Cigar,Unimodal,30,4903277.744627731,7580319.557835363,3448058.191883953,0.000125,17.35182210000057
F3,F3: Rotated Discus,Unimodal,30,33336.65835259387,50701.715530395835,9393.493385754233,0.041,17.63770045999845
F4,F4: Shifted & Rotated Rosenbrock,Multimodal,30,133.5747149525746,217.76294423618464,46.37818384065903,0.32,20.3077214799996
F5,F5: Shifted & Rotated Ackley,Multimodal,30,20.01984872680157,20.14791061933147,0.15343567607217098,0.201,19.167793459995302
F6,F6: Shifted & Rotated Weierstrass,Multimodal,30,19.484049430862342,22.661286870127743,1.9540764336026348,0.115,97.11163571999641
F7,F7: Shifted & Rotated Griewank,Multimodal,30,1.0141337924513891,125.0875439800717,248.09410478617053,0.00184,16.06113168000302
F8,F8: Shifted Rastrigin,Multimodal,30,94.25792144368143,104.89645579480108,6.092445834403171,0.0,17.17965479999548
F9,F9: Shifted & Rotated Rastrigin,Multimodal,30,82.83902085767988,114.22437661203466,19.76784173747205,12.8,16.083355140002094
